x,y
0,0
1,0.5
2,1
3,1.5
4,2
5,2.5
6,3
7,3.5
8,4
9,4.5
10,5
11,5.5
12,6
13,6.5
14,7
15,7.5
16,8
17,8.5
18,9
19,9.5
20,10
21,10.3077
22,10.6154
23,10.9231
24,11.2308
25,11.5385
26,11.8462
27,12.1538
28,12.4615
29,12.7692
30,13.0769
31,13.3846
32,13.6923
33,14
34,14.3077
35,14.6154
36,14.9231
37,15.2308
38,15.5385
39,15.8462
40,16.1538
41,16.4615
42,16.7692
43,17.0769
44,17.3846
45,17.6923
46,18
47,18.3077
48,18.6154
49,18.9231
50,19.2308
51,19.5385
52,19.8462
53,20.1538
54,20.4615
55,20.7692
56,21.0769
57,21.3846
58,21.6923
59,22
60,22.3077
61,22.6154
62,22.9231
63,23.2308
64,23.5385
65,23.8462
66,24.1538
67,24.4615
68,24.7692
69,25.0769
70,25.3846
71,25.6923
72,26
73,26.3077
74,26.6154
75,26.9231
76,27.2308
77,27.5385
78,27.8462
79,28.1538
80,28.4615
81,28.7692
82,29.0769
83,29.3846
84,29.6923
85,30
86,30.3077
87,30.6154
88,30.9231
89,31.2308
90,31.5385
91,31.8462
92,32.1538
93,32.4615
94,32.7692
95,33.0769
96,33.3846
97,33.6923
98,34
99,34.3077
100,34.6154
101,34.9231
102,35.2308
103,35.5385
104,35.8462
105,36.1538
106,36.4615
107,36.7692
108,37.0769
109,37.3846
110,37.6923
111,38
112,38.3077
113,38.6154
114,38.9231
115,39.2308
116,39.5385
117,39.8462
118,40.1538
119,40.4615
120,40.7692
121,41.0769
122,41.3846
123,41.6923
124,42
125,42.3077
126,42.6154
127,42.9231
128,43.2308
129,43.5385
130,43.8462
131,44.1538
132,44.4615
133,44.7692
134,45.0769
135,45.3846
136,45.6923
137,46
138,46.3077
139,46.6154
140,46.9231
141,47.2308
142,47.5385
143,47.8462
144,48.1538
145,48.4615
146,48.7692
147,49.0769
148,49.3846
149,49.6923
150,50
151,51.9524
152,53.9048
153,55.8571
154,57.8095
155,59.7619
156,61.7143
157,63.6667
158,65.619
159,67.5714
160,69.5238
161,71.4762
162,73.4286
163,75.381
164,77.3333
165,79.2857
166,81.2381
167,83.1905
168,85.1429
169,87.0952
170,89.0476
171,91
172,92.9524
173,94.9048
174,96.8571
175,98.8095
176,100.762
177,102.714
178,104.667
179,106.619
180,108.571
181,110.524
182,112.476
183,114.429
184,116.381
185,118.333
186,120.286
187,122.238
188,124.19
189,126.143
190,128.095
191,130.048
192,132
193,133.952
194,135.905
195,137.857
196,139.81
197,141.762
198,143.714
199,145.667
200,147.619
201,149.571
202,151.524
203,153.476
204,155.429
205,157.381
206,159.333
207,161.286
208,163.238
209,165.19
210,167.143
211,169.095
212,171.048
213,173
214,174.952
215,176.905
216,178.857
217,180.81
218,182.762
219,184.714
220,186.667
221,188.619
222,190.571
223,192.524
224,194.476
225,196.429
226,198.381
227,200.333
228,202.286
229,204.238
230,206.19
231,208.143
232,210.095
233,212.048
234,214
235,215.952
236,217.905
237,219.857
238,221.81
239,223.762
240,225.714
241,227.667
242,229.619
243,231.571
244,233.524
245,235.476
246,237.429
247,239.381
248,241.333
249,243.286
250,245.238
251,247.19
252,249.143
253,251.095
254,253.048
255,255
