x,y0,y1,y2,y3,y4,y5,y6,y7,y8,y9,y10
150,249.645,241.822,229.324,206.234,178.706,150,115.045,67.6734,17.9596,1.26488,0.000441893
151,249.711,241.982,229.629,206.783,179.503,151,116.197,68.8069,18.5662,1.35179,0.000521746
152,249.777,242.142,229.933,207.33,180.299,152,117.353,69.9518,19.1892,1.44402,0.000615355
153,249.842,242.301,230.235,207.874,181.093,153,118.513,71.108,19.8288,1.54189,0.000724972
154,249.908,242.459,230.535,208.417,181.885,154,119.677,72.2756,20.4853,1.64568,0.000853206
155,249.972,242.616,230.833,208.957,182.676,155,120.845,73.4546,21.1591,1.75572,0.00100306
156,250.037,242.772,231.13,209.495,183.464,156,122.016,74.6451,21.8505,1.87234,0.00117801
157,250.1,242.927,231.426,210.031,184.251,157,123.191,75.8471,22.5599,1.99588,0.00138206
158,250.164,243.081,231.72,210.565,185.037,158,124.37,77.0606,23.2876,2.12671,0.00161981
159,250.227,243.235,232.013,211.097,185.821,159,125.553,78.2857,24.0339,2.26522,0.00189655
160,250.29,243.387,232.304,211.628,186.603,160,126.739,79.5224,24.7993,2.41178,0.00221838
161,250.352,243.539,232.593,212.156,187.384,161,127.929,80.7708,25.584,2.56683,0.00259228
162,250.414,243.69,232.882,212.682,188.163,162,129.123,82.0309,26.3885,2.73079,0.00302629
163,250.476,243.84,233.168,213.206,188.94,163,130.32,83.3026,27.2131,2.90412,0.0035296
164,250.537,243.989,233.454,213.728,189.716,164,131.521,84.5862,28.0581,3.08729,0.00411275
165,250.598,244.138,233.738,214.248,190.49,165,132.726,85.8815,28.924,3.28079,0.00478778
166,250.659,244.285,234.02,214.767,191.263,166,133.934,87.1887,29.8112,3.48513,0.0055685
167,250.719,244.432,234.302,215.283,192.034,167,135.146,88.5077,30.72,3.70086,0.00647064
168,250.779,244.578,234.582,215.798,192.804,168,136.362,89.8386,31.6509,3.92854,0.00751221
169,250.838,244.723,234.86,216.311,193.572,169,137.581,91.1814,32.6041,4.16875,0.00871371
170,250.898,244.867,235.138,216.822,194.339,170,138.804,92.5363,33.5802,4.42209,0.0100985
171,250.956,245.011,235.413,217.331,195.104,171,140.031,93.9031,34.5796,4.68921,0.0116933
172,251.015,245.154,235.688,217.839,195.867,172,141.261,95.282,35.6026,4.97076,0.0135284
173,251.073,245.296,235.962,218.345,196.63,173,142.495,96.673,36.6496,5.26744,0.0156383
174,251.131,245.438,236.234,218.849,197.391,174,143.732,98.076,37.7212,5.57996,0.018062
175,251.189,245.578,236.505,219.351,198.15,175,144.973,99.4912,38.8177,5.90907,0.0208443
176,251.246,245.718,236.774,219.851,198.908,176,146.217,100.919,39.9395,6.25554,0.0240355
177,251.303,245.858,237.043,220.35,199.664,177,147.465,102.358,41.0871,6.6202,0.0276928
178,251.36,245.996,237.31,220.847,200.419,178,148.717,103.81,42.261,7.00388,0.0318813
179,251.416,246.134,237.576,221.343,201.173,179,149.972,105.274,43.4615,7.40745,0.0366743
180,251.472,246.271,237.841,221.837,201.925,180,151.23,106.751,44.6891,7.83183,0.0421549
181,251.528,246.408,238.105,222.329,202.676,181,152.492,108.24,45.9444,8.27798,0.0484172
182,251.583,246.543,238.367,222.819,203.426,182,153.758,109.741,47.2276,8.74686,0.0555674
183,251.638,246.678,238.629,223.308,204.174,183,155.027,111.254,48.5394,9.23952,0.0637254
184,251.693,246.813,238.889,223.795,204.921,184,156.299,112.781,49.8802,9.75701,0.0730266
185,251.748,246.947,239.148,224.281,205.666,185,157.575,114.319,51.2505,10.3004,0.0836236
186,251.802,247.08,239.406,224.765,206.411,186,158.854,115.87,52.6507,10.871,0.0956884
187,251.856,247.212,239.663,225.248,207.153,187,160.137,117.434,54.0813,11.4698,0.109415
188,251.91,247.344,239.918,225.729,207.895,188,161.423,119.01,55.5429,12.0981,0.125021
189,251.963,247.476,240.173,226.208,208.635,189,162.713,120.599,57.0359,12.7572,0.142752
190,252.016,247.606,240.427,226.686,209.374,190,164.006,122.201,58.5608,13.4485,0.162883
191,252.069,247.736,240.679,227.163,210.112,191,165.303,123.815,60.1182,14.1733,0.185725
192,252.122,247.866,240.931,227.638,210.848,192,166.603,125.442,61.7086,14.9331,0.211625
193,252.174,247.994,241.181,228.111,211.583,193,167.906,127.082,63.3324,15.7294,0.240973
